Date of data,Trading partner code,Trading partner,Commodity code,Commodity,Renminbi Yuan
202410,502,United States,0105,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls",41126334
202410,502,United States,0106,Other live animals,2690078
202410,502,United States,0201,"Meat of bovine animals, fresh or chilled",166528283
202410,502,United States,0202,"Meat of bovine animals, frozen",638877051
202410,502,United States,0203,"Meat of swine, fresh, chilled or frozen",64342758
202410,502,United States,0206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen",417226977
202410,502,United States,0207,"Meat and edible offal, of the poultry of heading 0105, fresh, chilled or frozen",99938685
202410,502,United States,0302,"Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 0304",303
202410,502,United States,0303,"Fish, frozen, excluding fish fillets and other fish meat of heading 0304",411943546
202410,502,United States,0304,"Fish fillets and other fish meat (whether or not minced), fresh, chilled or frozen",27804721
202410,502,United States,0306,"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; smoked crustaceans, whether in shell or not, whether or not cooked before or during the smoking process; crustaceans, in shell, cooked by steaming or by boiling in water, whether or not chilled, frozen, dried, salted or in brine",230805428
202410,502,United States,0307,"Molluscs, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; smoked molluscs, whether in shell or not, whether or not cooked before or during the smoking process",115613591
202410,502,United States,0308,"Aquatic invertebrates other than crustaceans and molluscs, live, fresh, chilled, frozen, dried, salted or in brine; smoked aquatic invertebrates other than crustaceans and molluscs, whether or not cooked before or during the smoking process",681054
202410,502,United States,0401,"Milk and cream, not concentrated nor containing added sugar or other sweetening matter.",143839
202410,502,United States,0402,"Milk and cream, concentrated or containing added sugar or other sweetening matter",15824634
202410,502,United States,0403,"Yogurt; buttermilk, curdled milk and cream, kephir and other fermented or acidified milk and cream, whether or not concentrated or containing added sugar or other sweetening matter or flavoured or containing added fruit, nuts or cocoa",71
202410,502,United States,0404,"Whey, whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",118953194
202410,502,United States,0405,Butter and other fats and oils derived from milk; dairy spreads,3260671
202410,502,United States,0406,Cheese and curd,17797550
202410,502,United States,0504,"Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, chilled, frozen, salted, in brine, dried or smoked",158865135
202410,502,United States,0505,"Skins and other parts of birds, with their feathers or down, feathers and parts of feathers (whether or not with trimmed edges) and down, not further worked than cleaned, disinfected or treated for preservation;powder and waste of feathers or parts of feathers",8541186
202410,502,United States,0507,"Ivory, tortoiseshell, whalebone and whalebone hair, horns, antlers, hooves, nails, claws and beaks, unworked or simply prepared but not cut to shape; powder and waste of these products",831798
202410,502,United States,0511,"Animal products not elsewhere specified or included; dead animals of Chapter 1 or 3, unfit for human consumption",29663270
202410,502,United States,0601,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant, in growth or in flower; chicory plants and roots other than roots of heading 12.12.",1668190
202410,502,United States,0602,"Other live plants (including their roots), cuttings and slips; mushroom spawn.",564480
202410,502,United States,0604,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens, being goods of a kind suitable for bouquets or for ornamental purposes, fresh,dried, dyed, bleached, impregnated or otherwise prepared",10592
202410,502,United States,0710,"Vegetables (uncooked or cooked by steaming or boiling in water),frozen.",660373
202410,502,United States,0713,"Dried leguminous vegetables, shelled, whether or not skinned or split.",29635228
202410,502,United States,0801,"Coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled.",8195
202410,502,United States,0802,"Other nuts, fresh or dried, whether or not shelled or peeled.",154338672
202410,502,United States,0806,"Grapes, fresh or dried.",2181853
202410,502,United States,0808,"Apples, pears and quinces, fresh.",2366772
202410,502,United States,0809,"Apricots, cherries, peaches (including nectarines), plums and sloes, fresh.",8508763
202410,502,United States,0813,"Fruit, dried, other than that of headings 08.01 to 08.06; mixtures of nuts or dried fruits of this Chapter.",2710203
202410,502,United States,0901,"Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion.",13057113
202410,502,United States,0902,"Tea, whether or not flavoured.",57242
