Date of data,Trading partner code,Trading partner,Commodity code,Commodity,Renminbi Yuan
202303,502,United States,10619,Other mammals,3819103.0
202303,502,United States,10649,Other insects,2912.0
202303,502,United States,20810,"Meat and edible meat offal of rabbits or hares,fresh, chilled or frozen",2321631.0
202303,502,United States,30111,Ornamental fish of freshwater,388523.0
202303,502,United States,30289,"Other fish,fresh or chilled",2440383.0
202303,502,United States,30323,"Tilapias (Oreochromis spp) , frozen",928657.0
202303,502,United States,30324,"Catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp) , frozen",604326.0
202303,502,United States,30326,"Eels (Anguilla spp) , frozen",597208.0
202303,502,United States,30339,"Other flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae Scophthalmidae and Citharidae), frozen",40590.0
202303,502,United States,30354,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus) ,frozen",148621.0
202303,502,United States,30359,"Other herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae),frozen",1636422.0
202303,502,United States,30363,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus) ,frozen",28105.0
202303,502,United States,30389,"Other fish ,frozen",64489624.0
202303,502,United States,30461,Frozen fillets of tilapias (Oreochromis spp),5516134.0
202303,502,United States,30462,"Frozen fillets of catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp)",1016146.0
202303,502,United States,30469,"Frozen fillets of carp Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus"", eels ""Anguilla spp."" and snakeheads ""Channa spp.""""",830330.0
202303,502,United States,30471,"Frozen fillets of cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",160298268.0
202303,502,United States,30472,Frozen fillets of haddock (Melanogrammus aeglefinus),17749800.0
202303,502,United States,30474,"Frozen fillets of hake (Merluccius spp, Urophycis spp)",560661.0
202303,502,United States,30475,Frozen fillets of Alaska Pollock (Theragra chalcogramma),21986371.0
202303,502,United States,30479,"Frozen fillets of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae (excluding cod, haddock, coalfish, hake and Alaska pollack)",37251.0
202303,502,United States,30481,"Frozen fillets of Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",132104136.0
202303,502,United States,30483,"Frozen fillets of flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae)",43427328.0
202303,502,United States,30487,"Frozen fillets of tunas (of the genus Thunnus),skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis)",1787660.0
202303,502,United States,30489,"Frozen fish fillets, n.e.s.",7326105.0
202303,502,United States,30494,"Frozen meat, whether or not minced, of alaska Pollack (Theragra chalcogramma)",624536.0
202303,502,United States,30495,"Frozen meat, whether or not minced, of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, other than Alaska Pollack (Theragra chalcogramma)",1065576.0
202303,502,United States,30499,Frozen fish meat n.e.s. (excluding fillets),59660.0
202303,502,United States,30520,"Livers, roes and milt of fish, dried, smoked, salted or in brine",144469.0
202303,502,United States,30532,"Fillets, dried, salted or in brine, but not smoked, of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae",1771160.0
202303,502,United States,30559,"Dried fish, even salted but not smoked (excluding fillets, offal and cod)",1490866.0
202303,502,United States,30569,"Other fish, salted or in brine only (excluding fillets, offal, herring, cod, anchovies, tilapia, catfish, carp, eels, Nile perch and snakeheads)",706709.0
202303,502,United States,30572,"Fish heads, tails and maws, smoked, dried, salted or in brine",406364.0
202303,502,United States,30614,Frozen crabs,8649701.0
202303,502,United States,30617,"Frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in shell, cooked by steaming or by boiling in water (excluding cold-water shrimps and prawns)",26337068.0
202303,502,United States,30636,"Other shrimps and prawns, whether in shell or not, live, fresh or chilled",2080.0
202303,502,United States,30695,"Shrimps and prawns,, whether in shell or not, live, fresh or chilled (excl. rock lobster and other sea crawfish, lobsters, crabs, Norway lobsters, shrimps and prawns); flours, meals and pellets of crustaceans, fit for human consumption, fresh or chilled",5588926.0
202303,502,United States,30711,"Oysters, live, fresh, chilled",46364.0
202303,502,United States,30722,Frozen scallops and other molluscs of the family Pectinidae,48481201.0
202303,502,United States,30729,"Dried, salted or in brine, smoked, scallops and other molluscs of the family Pectinidae",457508.0
202303,502,United States,30743,"Frozen cuttle fish and squid, with or without shell",80447611.0
202303,502,United States,30749,"Cuttle fish and squid, smoked, frozen, dried, salted or in brine, with or without shell",345838.0
202303,502,United States,30752,Frozen octopus (Octopus spp.),4904456.0
202303,502,United States,30783,Frozen abalone (Haliotis spp),2956486.0
202303,502,United States,30787,"Smoked, dried, salted or in brine, even in shell, abalone (Haliotis spp.)",567283.0
202303,502,United States,30792,Other frozen Molluscs,173594.0
202303,502,United States,30830,Jellyfish (Rhopilema spp),4453333.0
202303,502,United States,30890,"Live, fresh, chilled, frozen, dried, salted or in brine, even smoked, aquatic invertebrates (excluding crustaceans, molluscs, sea cucumbers, sea urchins and jellyfish)",41646.0
202303,502,United States,40299,"Milk and cream, concentrated and sweetened (excluding in solid forms)",163313.0
202303,502,United States,40390,"Buttermilk, curdled milk and cream, kephir and other fermented or acidified milk and cream, whether or not concentrated or flavoured or containing added sugar or other sweetening matter, fruits, nuts or cocoa",72738.0
202303,502,United States,40790,"Other birds'eggs, in shell, preserved or cooked",6631125.0
202303,502,United States,40811,Dried egg yolks,934099.0
202303,502,United States,40819,Other egg yolks,2285907.0
202303,502,United States,40891,"Dried birds'eggs, not in shell, whether or not sweetened (excluding egg yolks)",360586.0
202303,502,United States,40899,"Other birds'eggs, not in shell, fresh, cooked by steaming or boiling in water, moulded, frozen or otherwise preserved, whether or not sweetened (excluding dried)",590989.0
202303,502,United States,41090,"Other edible products of animal origin, not elsewhere specified or included",1427625.0
202303,502,United States,50210,"Pigs', hogs' or boars' bristles and hair and waste thereof",527980.0
202303,502,United States,50400,"Guts, bladders and stomachs of animals (other than fish), wholeand pieces thereof, fresh, chilled, frozen, salted, in brine, dried orsmoked",55143039.0
202303,502,United States,50510,Feathers of a kind used for stuffing; down,27256096.0
202303,502,United States,50790,"Tortoiseshell, whalebone, Otherhorns, antlers, hooves, nails, claws and beaks, other powder and waste there of",107388.0
202303,502,United States,50800,"Coral and similar materials, unworked or simply prepared bunot otherwise worked; shells of molluscs, crustaceans or echinoderms and cuttlebone, unworked or simply prepared bunot cut to shape, powder and waste thereof",2086486.0
202303,502,United States,51000,"Ambergris, castoreum, civet and musk; cantharides; bile, whether or not dried; glands and other animal products used in the preparation of pharmaceutical products, fresh, chilled, frozen or otherwise provisionally preserved",18201.0
202303,502,United States,51191,"Products of fish or crustaceans, molluscs or other aquatic invertebrates; dead animals of Chapter 3",3713606.0
202303,502,United States,51199,"Unkown Products of animal origin, n.e.s., dead animals, unfit for human consumption (excluding fish, crustaceans, molluscs or other aquatic invertebrates)",32849407.0
202303,502,United States,60110,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant",188971.0
202303,502,United States,60210,Unrooted cuttings and slips,2907504.0
202303,502,United States,60290,Other live plant,34790073.0
202303,502,United States,60390,"Dried, dyed, bleached, impregnated or otherwise prepared cut flowers and buds, of a kind suitable for bouquets or for ornamental purposes",3335851.0
