Date of data,Trading partner code,Trading partner,Commodity code,Commodity,US dollar
201902,502,United States,010611,Primates,1271800
201902,502,United States,010619,Other mammals,12439
201902,502,United States,010620,Reptiles (including snakes and turtles),8254
201902,502,United States,020810,"Meat and edible meat offal of rabbits or hares,fresh, chilled or frozen",43000
201902,502,United States,030111,Ornamental fish of freshwater,41809
201902,502,United States,030289,"Other fish,fresh or chilled",95025
201902,502,United States,030323,"Tilapias (Oreochromis spp) , frozen",178626
201902,502,United States,030324,"Catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp) , frozen",75390
201902,502,United States,030339,"Other flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae Scophthalmidae and Citharidae), frozen",1042
201902,502,United States,030353,"Sardines (Sardina pilchardus, Sardinops spp), sardinella (Sardinella spp), brisling or sprats (Sprattus sprattus),frozen",147153
201902,502,United States,030354,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus) ,frozen",5
201902,502,United States,030383,"Toothfish (Dissostichus spp) ,frozen",1131025
201902,502,United States,030389,"Other fish ,frozen",2865544
201902,502,United States,030399,"Other fish fins, heads, tails, maws and other edible fish offal,frozen",6586
201902,502,United States,030461,Frozen fillets of tilapias (Oreochromis spp),2587391
201902,502,United States,030462,"Frozen fillets of catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp)",655240
201902,502,United States,030471,"Frozen fillets of cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",9190511
201902,502,United States,030472,Frozen fillets of haddock (Melanogrammus aeglefinus),3743313
201902,502,United States,030474,"Frozen fillets of hake (Merluccius spp, Urophycis spp)",870481
201902,502,United States,030475,Frozen fillets of alaska Pollack (Theragra chalcogramma),1431689
201902,502,United States,030479,"Frozen fillets of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae (excluding cod, haddock, coalfish, hake and Alaska pollack)",22124
201902,502,United States,030481,"Frozen fillets of Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",9073514
201902,502,United States,030483,"Frozen fillets of flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae)",1145637
201902,502,United States,030487,"Frozen fillets of tunas (of the genus Thunnus), skipjack or stripebellied bonito (Euthynnus (Katsuwonus) pelamis)",162025
201902,502,United States,030489,"Frozen fish fillets, n.e.s.",467332
201902,502,United States,030495,"Frozen meat, whether or not minced, of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, other than Alaska Pollack (Theragra chalcogramma)",144262
201902,502,United States,030532,"Fillets, dried, salted or in brine, but not smoked, of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae",184996
201902,502,United States,030559,"Dried fish, even salted but not smoked (excluding fillets, offal and cod)",12948
201902,502,United States,030569,"Other fish, salted or in brine only (excluding fillets, offal, herring, cod, anchovies, tilapia, catfish, carp, eels, Nile perch and snakeheads)",73017
201902,502,United States,030614,Frozen crabs,812259
201902,502,United States,030615,Frozen norway lobsters (Nephrops norvegicus),439230
201902,502,United States,030617,"Frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in shell, cooked by steaming or by boiling in water (excluding cold-water shrimps and prawns)",1586478
201902,502,United States,030695,"Shrimps and prawns,, whether in shell or not, live, fresh or chilled (excl. rock lobster and other sea crawfish, lobsters, crabs, Norway lobsters, shrimps and prawns); flours, meals and pellets of crustaceans, fit for human consumption, fresh or chilled",246514
201902,502,United States,030722,"Frozen scallops, incl. queen scallops, of the genera Pecten, Chlamys or Placopecten, even in shell",2189656
201902,502,United States,030732,"Frozen mussels (Mytilus spp., Perna spp.), with or without shell",77240
201902,502,United States,030743,"Frozen cuttle fish and squid, with or without shell",3831633
201902,502,United States,030752,Frozen octopus (Octopus spp.),415641
201902,502,United States,030822,"Frozen sea urchins (Strongylocentrotus spp., Paracentrotus lividus, Loxechinus albus, Echinus esculentus)",100
201902,502,United States,030830,Jellyfish (Rhopilema spp),6932
201902,502,United States,030890,"Live, fresh, chilled, frozen, dried, salted or in brine, even smoked, aquatic invertebrates (excluding crustaceans, molluscs, sea cucumbers, sea urchins and jellyfish); all flours, meals and pellets of aquatic invertebrates other than crustaceans and molluscs, fit for human consumption",3780
201902,502,United States,040790,"Other birds'eggs, in shell, preserved or cooked",121433
201902,502,United States,040811,Dried egg yolks,139338
201902,502,United States,040819,Other egg yolks,4926
201902,502,United States,041000,"dible products of animal origin, not elsewhere specified or included",195017
