Date of data,Trading partner code,Trading partner,Commodity code,Commodity,Renminbi Yuan
202103,502,United States,10310,Purebred breeding swine,26583824.0
202103,502,United States,10619,Other mammals,2707706.0
202103,502,United States,10649,Other insects,50546.0
202103,502,United States,10690,Other lives animals,21021.0
202103,502,United States,20120,Other cuts with bone in,2693073.0
202103,502,United States,20130,Boneless,51727928.0
202103,502,United States,20220,Other cuts with bone in,15424614.0
202103,502,United States,20230,Boneless,322717334.0
202103,502,United States,20322,"Hams, shoulders and cuts thereof, with bone in",390970075.0
202103,502,United States,20329,Other frozen meat of swine,510324565.0
202103,502,United States,20621,"Tongues of bovine animals,frozen",10689.0
202103,502,United States,20629,"Other edible offal of bovine animals,frozen",9221439.0
202103,502,United States,20649,"Other edible offal of swine,frozen",317248813.0
202103,502,United States,20714,"Cuts and offal, frozen",580669029.0
202103,502,United States,20727,"Cuts and offal of turkeys , frozen",5683467.0
202103,502,United States,20910,"Pig fat, free of lean meat,not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",7670288.0
202103,502,United States,30111,Ornamental fish of freshwater,4309.0
202103,502,United States,30119,Other ornamental fish,116867.0
202103,502,United States,30311,"Sockeye salmon (red salmon) (Oncorhynchus nerka) ,frozen",754924.0
202103,502,United States,30312,"Other Pacific salmon (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus) ,frozen",9755922.0
202103,502,United States,30339,"Other flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae Scophthalmidae and Citharidae), frozen",26767404.0
202103,502,United States,30363,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus) ,frozen",21325000.0
202103,502,United States,30367,"Alaska Pollack (Theragra chalcogramma) ,frozen",6544522.0
202103,502,United States,30389,"Other fish ,frozen",21654712.0
202103,502,United States,30391,"Livers, roes and milt,frozen",4341080.0
202103,502,United States,30399,"Other fish fins, heads, tails, maws and other edible fish offal,frozen",642.0
202103,502,United States,30475,Frozen fillets of alaska Pollack (Theragra chalcogramma),4336080.0
202103,502,United States,30494,"Frozen meat, whether or not minced, of alaska Pollack (Theragra chalcogramma)",1038483.0
202103,502,United States,30495,"Frozen meat, whether or not minced, of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, other than Alaska Pollack (Theragra chalcogramma)",1413573.0
202103,502,United States,30499,Frozen fish meat n.e.s. (excluding fillets),2663672.0
202103,502,United States,30614,Frozen crabs,680958.0
202103,502,United States,30631,"Rock lobster and other sea crawfish (Palinurus spp, Panulirus spp, Jasus spp) , whether in shell or not, live, fresh or chilled",25725269.0
202103,502,United States,30632,"Lobsters (Homarus spp), whether in shell or not, live, fresh or chilled",32594659.0
202103,502,United States,30633,"Crabs , whether in shell or not, live, fresh or chilled",89797016.0
202103,502,United States,30635,"Coldwater shrimps and prawns (Pandalus spp, Crangon crangon), whether in shell or not, live, fresh or chilled",188908.0
202103,502,United States,30636,"Other shrimps and prawns, whether in shell or not, live, fresh or chilled",1025939.0
202103,502,United States,30711,"Oysters, live, fresh, chilled",230714.0
202103,502,United States,30743,"Frozen cuttle fish and squid, with or without shell",21790150.0
202103,502,United States,30784,Frozen stromboid conchs (Strombus spp.),2119115.0
202103,502,United States,30791,"Live, fresh or chilled molluscs, fit for human consumption, even in shell (excluding oysters, scallops of the genera Pecten, Chlamys or Placopecten, mussels Mytilus spp., Perna spp."", cuttle fish ""Sepia officinalis, Rossia macrosoma, Sepiola spp."", squid ""Ommastrephes spp., Loligo spp., Nototodarus spp., Sepioteuthis spp."", octopus ""Octopus spp."", snails other than sea snails, clams, cockles and ark shells and abalone); fresh or chilled flours, meals and pellets of molluscs, fit for human consumption""",42802181.0
202103,502,United States,30821,"Live, fresh or chilled, sea urchins (Strongylocentrotus spp., Paracentrotus lividus, Loxechinus albus, Echinus esculentus)",250319.0
202103,502,United States,40120,"Milk and cream of a fat content, by weight, exceeding 1% but not exceeding 6%",35847.0
202103,502,United States,40210,"Milk and cream in powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5%",33716285.0
202103,502,United States,40221,"Not containing added sugar or other sweetening matter, of a fat content, by weight, more than 1.5%",2555628.0
202103,502,United States,40229,"Milk and cream in solid forms, of a fat content by weight, more than 1,5%, sweetened",5192.0
202103,502,United States,40299,"Milk and cream, concentrated and sweetened (excluding in solid forms)",39154.0
202103,502,United States,40390,"Buttermilk, curdled milk and cream, kephir and other fermented or acidified milk and cream, whether or not concentrated or flavoured or containing added sugar or other sweetening matter, fruits, nuts or cocoa (excluding yogurt)",12863.0
202103,502,United States,40410,"Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",177423195.0
202103,502,United States,40510,Butter,105791.0
202103,502,United States,40590,"Fats and oils derived from milk, and dehydrated butter and ghee (excluding natural butter, recombined butter and whey butter)",25075.0
202103,502,United States,40610,"Fresh (unripened or uncured) cheese, including whey cheese, and curd",867160.0
202103,502,United States,40620,"Grated or powdered cheese, of all kinds",14065051.0
202103,502,United States,40630,"Processed cheese, not grated or powdered",2259966.0
202103,502,United States,40690,Other cheese,15613163.0
202103,502,United States,40900,atural honey,399969.0
202103,502,United States,41000,"dible products of animal origin, not elsewhere specified or included",6230.0
202103,502,United States,50400,"Guts, bladders and stomachs of animals (other than fish), wholeand pieces thereof, fresh, chilled, frozen, salted, in brine, dried orsmoked",93785499.0
202103,502,United States,50510,Feathers of a kind used for stuffing; down,2941894.0
202103,502,United States,50590,"Skins and other parts of birds, with their feathers or down, feathers and parts of feathers, whether or not with trimmed edges, not further worked than cleaned, disinfected or treated for preservation; powder and waste of feathers or parts of feathers (excluding feathers used for stuffing and down)",997516.0
202103,502,United States,50800,"Coral and similar materials, unworked or simply prepared bunot otherwise worked; shells of molluscs, crustaceans or echinoderms and cuttlebone, unworked or simply prepared bunot cut to shape, powder and waste thereof",49068.0
202103,502,United States,51110,Bovine semen,61640286.0
202103,502,United States,51199,"Unkown Products of animal origin, n.e.s., dead animals, unfit for human consumption (excluding fish, crustaceans, molluscs or other aquatic invertebrates)",4727089.0
202103,502,United States,60210,Unrooted cuttings and slips,1206.0
202103,502,United States,60220,"Trees, shrubs and bushes, grafted or not, of kinds which bear edible fruit or nuts",2636.0
202103,502,United States,60290,Other live plant,3397091.0
202103,502,United States,60319,"Fresh cut flowers and buds, of a kind suitable for bouquets or for ornamental purposes",57794.0
202103,502,United States,60420,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens, being goods of a kind suitable for bouquets or for ornamental purposes, fresh",31864.0
202103,502,United States,60490,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens, being goods of a kind suitable for bouquets or for ornamental purposes, dried, dyed, bleached, impregnated or otherwise prepared",4489.0
202103,502,United States,71040,"Sweet corn,frozen.",11320449.0
202103,502,United States,71090,"Mixtures of vegetables,frozen.",16537.0
202103,502,United States,71220,"Dried Onions, whole, cut, sliced, broken or in powder, but not further prepared.",361990.0
202103,502,United States,71290,"Dried other vegetables; mixtures of vegetables, whole, cut, sliced, broken or in powder, but not further prepared.",262180.0
202103,502,United States,71310,"Dried peas (Pisum sativum), shelled, whether or not skinned or split.",30790630.0
202103,502,United States,71333,"Dried kidney beans, including white pea beans (Phaseolus vulgaris), shelled, whether or not skinned or split.",7636300.0
202103,502,United States,71340,"Dried, shelled lentils",2112178.0
202103,502,United States,80111,Desiccated coconuts,18650.0
202103,502,United States,80122,Shelled brazil nuts,1515.0
202103,502,United States,80132,Shelled cashew nuts,1051.0
202103,502,United States,80211,"In shell almonds, fresh or dried, whether or not shelled or peeled.",26351705.0
202103,502,United States,80212,"Shelled almonds, fresh or dried, whether or not shelled or peeled.",21114197.0
202103,502,United States,80221,In shell hazelnuts or filberts (Corylus spp.),4272868.0
202103,502,United States,80231,In shell walnuts,4717717.0
202103,502,United States,80232,Shelled walnuts,3281285.0
202103,502,United States,80251,In shell pistachios,17764495.0
202103,502,United States,80262,Shelled macadamia nuts,4030670.0
202103,502,United States,80290,Other nuts fresh or dried,11622626.0
202103,502,United States,80440,Fresh or dried avocados,1938710.0
202103,502,United States,80510,Fresh or dried oranges,12611260.0
202103,502,United States,80550,"Fresh or dried lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)",959978.0
202103,502,United States,80610,Fresh Grapes,1435950.0
202103,502,United States,80620,Dried Grapes,5735555.0
202103,502,United States,80810,Fresh Apples,5887180.0
202103,502,United States,81310,Dried Apricots,292.0
202103,502,United States,81320,Dried Prunes,4907425.0
202103,502,United States,81330,Dried Apples,58.0
202103,502,United States,81340,Other Dried fruit,266997.0
202103,502,United States,81350,Mixtures of nuts or dried fruits of this Chapter,955.0
202103,502,United States,81400,"Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.",251.0
202103,502,United States,90111,Coffee not roasted (not decaffeinated),18657.0
202103,502,United States,90121,Coffee roasted (Not decaffeinated ),4075104.0
202103,502,United States,90122,Coffee roasted(Decaffeinated ),657806.0
202103,502,United States,90190,Coffee husks and skins; coffee substitutes containing coffee in any proportion,24508.0
202103,502,United States,90210,Green tea (not fermented) in immediate packings of a content not exceeding 3 kg,139633.0
202103,502,United States,90220,Other green tea (not fermented),16120.0
202103,502,United States,90230,"Black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3 kg",26695.0
202103,502,United States,90240,"Black tea (fermented) and partly fermented tea, in packings exceeding 3 kg",3476.0
202103,502,United States,90300,Maté,1272.0
202103,502,United States,90411,Neither crushed nor ground,38537.0
202103,502,United States,90412,Crushed or ground,27121.0
202103,502,United States,90422,Crushed or ground,4275.0
202103,502,United States,90620,Crushed or ground,7216.0
202103,502,United States,90832,Cardamoms Crushed or ground,787.0
202103,502,United States,90962,"Seeds of anise, badian, caraway or fennel; juniper berries Crushed or ground",159.0
202103,502,United States,91030,Turmeric (curcuma),2057.0
202103,502,United States,91091,Mixtures referred to in Note 1 (b) to this Chapter,3637.0
202103,502,United States,91099,Other spices,106553.0
202103,502,United States,100119,Durum wheat( excluding seed for sowing),98652551.0
