Date of data,Trading partner code,Trading partner,Commodity code,Commodity,Renminbi Yuan
202107,502,United States,10619,Other mammals,1935222.0
202107,502,United States,10649,Other insects,45539.0
202107,502,United States,10690,Other lives animals,7257.0
202107,502,United States,20120,Other cuts with bone in,3358684.0
202107,502,United States,20130,Boneless,85051417.0
202107,502,United States,20220,Other cuts with bone in,65978701.0
202107,502,United States,20230,Boneless,618198910.0
202107,502,United States,20322,"Hams, shoulders and cuts thereof, with bone in",355211594.0
202107,502,United States,20329,Other frozen meat of swine,298793872.0
202107,502,United States,20610,"Of bovine animals, fresh or chilled",17355.0
202107,502,United States,20621,"Tongues of bovine animals,frozen",1427018.0
202107,502,United States,20622,"Livers of bovine animals,frozen",18969.0
202107,502,United States,20629,"Other edible offal of bovine animals,frozen",10537797.0
202107,502,United States,20649,"Other edible offal of swine,frozen",480705616.0
202107,502,United States,20714,"Cuts and offal, frozen",784640039.0
202107,502,United States,20727,"Cuts and offal of turkeys , frozen",8309485.0
202107,502,United States,20910,"Pig fat, free of lean meat,not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",17287853.0
202107,502,United States,30331,"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis) , frozen",1914268.0
202107,502,United States,30339,"Other flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae Scophthalmidae and Citharidae), frozen",120364921.0
202107,502,United States,30351,"Herrings (Clupea harengus, Clupea pallasii) ,frozen",59272063.0
202107,502,United States,30363,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus) ,frozen",74916460.0
202107,502,United States,30367,"Alaska Pollack (Theragra chalcogramma) ,frozen",10649027.0
202107,502,United States,30389,"Other fish ,frozen",43899603.0
202107,502,United States,30391,"Livers, roes and milt,frozen",9522736.0
202107,502,United States,30399,"Other fish fins, heads, tails, maws and other edible fish offal,frozen",712665.0
202107,502,United States,30471,"Frozen fillets of cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",714390.0
202107,502,United States,30475,Frozen fillets of alaska Pollack (Theragra chalcogramma),5583316.0
202107,502,United States,30494,"Frozen meat, whether or not minced, of alaska Pollack (Theragra chalcogramma)",8372110.0
202107,502,United States,30495,"Frozen meat, whether or not minced, of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, other than Alaska Pollack (Theragra chalcogramma)",2335923.0
202107,502,United States,30520,"Livers, roes and milt of fish, dried, smoked, salted or in brine",147451.0
202107,502,United States,30614,Frozen crabs,4253175.0
202107,502,United States,30632,"Lobsters (Homarus spp), whether in shell or not, live, fresh or chilled",64766442.0
202107,502,United States,30633,"Crabs , whether in shell or not, live, fresh or chilled",5803855.0
202107,502,United States,30635,"Coldwater shrimps and prawns (Pandalus spp, Crangon crangon), whether in shell or not, live, fresh or chilled",221428.0
202107,502,United States,30711,"Oysters, live, fresh, chilled",152339.0
202107,502,United States,30722,"Frozen scallops, incl. queen scallops, of the genera Pecten, Chlamys or Placopecten, even in shell",585388.0
202107,502,United States,30743,"Frozen cuttle fish and squid, with or without shell",103884932.0
202107,502,United States,30791,"Live, fresh or chilled molluscs, fit for human consumption, even in shell (excluding oysters, scallops of the genera Pecten, Chlamys or Placopecten, mussels Mytilus spp., Perna spp."", cuttle fish ""Sepia officinalis, Rossia macrosoma, Sepiola spp."", squid ""Ommastrephes spp., Loligo spp., Nototodarus spp., Sepioteuthis spp."", octopus ""Octopus spp."", snails other than sea snails, clams, cockles and ark shells and abalone); fresh or chilled flours, meals and pellets of molluscs, fit for human consumption""",58465004.0
202107,502,United States,40210,"Milk and cream in powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5%",127576743.0
202107,502,United States,40221,"Not containing added sugar or other sweetening matter, of a fat content, by weight, more than 1.5%",14994146.0
202107,502,United States,40229,"Milk and cream in solid forms, of a fat content by weight, more than 1,5%, sweetened",111213.0
202107,502,United States,40299,"Milk and cream, concentrated and sweetened (excluding in solid forms)",22000.0
