Date of data,Trading partner code,Trading partner,Commodity code,Commodity,Renminbi Yuan
202512,502,United States,10619,Other mammals,2162564.0
202512,502,United States,10649,Other insects,24798.0
202512,502,United States,10690,Other lives animals,37881.0
202512,502,United States,20220,Other cuts with bone in,2591261.0
202512,502,United States,20230,Boneless,33737252.0
202512,502,United States,20322,"Hams, shoulders and cuts thereof, with bone in",29115424.0
202512,502,United States,20329,Other frozen meat of swine,149095.0
202512,502,United States,20629,"Other edible offal of bovine animals,frozen",2995618.0
202512,502,United States,20649,"Other edible offal of swine,frozen",293837628.0
202512,502,United States,20714,"Cuts and offal, frozen",45964010.0
202512,502,United States,30311,"Sockeye salmon (red salmon) (Oncorhynchus nerka) ,frozen",1876944.0
202512,502,United States,30312,"Other Pacific salmon (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus) ,frozen",77292493.0
202512,502,United States,30339,"Other flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae Scophthalmidae and Citharidae), frozen",79183206.0
202512,502,United States,30354,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus) ,frozen",1868185.0
202512,502,United States,30363,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus) ,frozen",34998927.0
202512,502,United States,30366,"Hake (Merluccius spp, Urophycis spp) ,frozen",357627.0
202512,502,United States,30367,"Alaska Pollack (Theragra chalcogramma) ,frozen",13036981.0
202512,502,United States,30389,"Other fish ,frozen",50338427.0
202512,502,United States,30399,"Other fish fins, heads, tails, maws and other edible fish offal,frozen",988287.0
202512,502,United States,30475,Frozen fillets of Alaska Pollock (Theragra chalcogramma),9464.0
202512,502,United States,30494,"Frozen meat, whether or not minced, of alaska Pollack (Theragra chalcogramma)",6234415.0
202512,502,United States,30495,"Frozen meat, whether or not minced, of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, other than Alaska Pollack (Theragra chalcogramma)",434669.0
202512,502,United States,30611,"Frozen rock lobster and other sea crawfish (Palinurus spp, Panulirus spp, Jasus spp)",2094421.0
202512,502,United States,30631,"Rock lobster and other sea crawfish (Palinurus spp, Panulirus spp, Jasus spp) , whether in shell or not, live, fresh or chilled",45269941.0
202512,502,United States,30632,"Lobsters (Homarus spp), whether in shell or not, live, fresh or chilled",314998900.0
202512,502,United States,30633,"Crabs , whether in shell or not, live, fresh or chilled",60296801.0
202512,502,United States,30636,"Other shrimps and prawns, whether in shell or not, live, fresh or chilled",7635332.0
202512,502,United States,30711,"Oysters, live, fresh, chilled",79033.0
202512,502,United States,30743,"Frozen cuttle fish and squid, with or without shell",233285012.0
202512,502,United States,30791,"Other molluscs,live/fresh/chilled",42468469.0
202512,502,United States,30821,"Live, fresh or chilled, sea urchins (Strongylocentrotus spp., Paracentrotus lividus, Loxechinus albus, Echinus esculentus)",961763.0
202512,502,United States,40120,"Milk and cream of a fat content, by weight, exceeding 1% but not exceeding 6%",670.0
202512,502,United States,40140,"Milk and cream of a fat content, by weight, exceeding 6% but not exceeding 10%",7752.0
202512,502,United States,40210,"Milk and cream in powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5%",2779797.0
202512,502,United States,40320,Yogurt,47170.0
202512,502,United States,40410,"Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",165466829.0
202512,502,United States,40490,"Products consisting of natural milk constituents, whether or not sweetened, n.e.s.",53159.0
202512,502,United States,40510,Butter,24873.0
202512,502,United States,40610,"Fresh (unripened or uncured) cheese, including whey cheese, and curd",527760.0
202512,502,United States,40620,"Grated or powdered cheese, of all kinds",5684981.0
202512,502,United States,40630,"Processed cheese, not grated or powdered",42183.0
202512,502,United States,40690,Other cheese,1715800.0
202512,502,United States,50400,"Guts, bladders and stomachs of animals (other than fish), wholeand pieces thereof, fresh, chilled, frozen, salted, in brine, dried orsmoked",116238414.0
202512,502,United States,50510,Feathers of a kind used for stuffing; down,3311966.0
202512,502,United States,50590,"Skins and other parts of birds, with their feathers or down, feathers and parts of feathers, whether or not with trimmed edges, not further worked than cleaned, disinfected or treated for preservation; powder and waste of feathers or parts of feathers (excluding feathers used for stuffing and down)",1444031.0
202512,502,United States,50790,"Tortoiseshell, whalebone, Otherhorns, antlers, hooves, nails, claws and beaks, other powder and waste there of",533421.0
202512,502,United States,51191,"Products of fish or crustaceans, molluscs or other aquatic invertebrates; dead animals of Chapter 3",2382354.0
202512,502,United States,51199,"Unkown Products of animal origin, n.e.s., dead animals, unfit for human consumption (excluding fish, crustaceans, molluscs or other aquatic invertebrates)",5593.0
202512,502,United States,60210,Unrooted cuttings and slips,36203.0
202512,502,United States,60220,"Trees, shrubs and bushes, grafted or not, of kinds which bear edible fruit or nuts",3071013.0
202512,502,United States,60290,Other live plant,1888740.0
202512,502,United States,60420,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens, being goods of a kind suitable for bouquets or for ornamental purposes, fresh",1525.0
202512,502,United States,71040,"Sweet corn,frozen.",6259416.0
202512,502,United States,71290,"Dried other vegetables; mixtures of vegetables, whole, cut, sliced, broken or in powder, but not further prepared.",870.0
202512,502,United States,71310,"Dried peas (Pisum sativum), shelled, whether or not skinned or split.",31715318.0
202512,502,United States,71333,"Dried kidney beans, including white pea beans (Phaseolus vulgaris), shelled, whether or not skinned or split.",540243.0
202512,502,United States,71340,"Dried, shelled lentils",4546320.0
202512,502,United States,80211,"In shell almonds, fresh or dried, whether or not shelled or peeled.",17955410.0
202512,502,United States,80212,"Shelled almonds, fresh or dried, whether or not shelled or peeled.",11487149.0
202512,502,United States,80231,In shell walnuts,441781.0
202512,502,United States,80232,Shelled walnuts,640033.0
202512,502,United States,80251,In shell pistachios,324986802.0
202512,502,United States,80510,Fresh or dried oranges,443885.0
202512,502,United States,80620,Dried Grapes,4088612.0
202512,502,United States,80810,Fresh Apples,18568428.0
202512,502,United States,80940,Fresh Plums and sloes,1614869.0
202512,502,United States,81320,Dried Prunes,244502.0
202512,502,United States,90121,Coffee roasted (Not decaffeinated ),5814310.0
202512,502,United States,90122,Coffee roasted(Decaffeinated ),224539.0
202512,502,United States,90190,Coffee husks and skins; coffee substitutes containing coffee in any proportion,182.0
