Date of data,Trading partner code,Trading partner,Commodity code,Commodity,US dollar
202510,502,United States,10511,"Fowls of the species Gallus omesticus, weighing not more than 185 g",951826.0
202510,502,United States,10619,Other mammals,283214.0
202510,502,United States,10649,Other insects,13590.0
202510,502,United States,20120,Other cuts with bone in,2451.0
202510,502,United States,20130,Boneless,1664891.0
202510,502,United States,20220,Other cuts with bone in,766532.0
202510,502,United States,20230,Boneless,2224552.0
202510,502,United States,20322,"Hams, shoulders and cuts thereof, with bone in",5906624.0
202510,502,United States,20329,Other frozen meat of swine,41147.0
202510,502,United States,20629,"Other edible offal of bovine animals,frozen",197934.0
202510,502,United States,20649,"Other edible offal of swine,frozen",41031672.0
202510,502,United States,20714,"Cuts and offal, frozen",3128784.0
202510,502,United States,30311,"Sockeye salmon (red salmon) (Oncorhynchus nerka) ,frozen",696859.0
202510,502,United States,30312,"Other Pacific salmon (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus) ,frozen",65603204.0
202510,502,United States,30331,"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis) , frozen",289273.0
202510,502,United States,30339,"Other flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae Scophthalmidae and Citharidae), frozen",10629534.0
202510,502,United States,30363,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus) ,frozen",3061213.0
202510,502,United States,30367,"Alaska Pollack (Theragra chalcogramma) ,frozen",1404273.0
202510,502,United States,30389,"Other fish ,frozen",15942858.0
202510,502,United States,30391,"Livers, roes and milt,frozen",35840.0
202510,502,United States,30399,"Other fish fins, heads, tails, maws and other edible fish offal,frozen",131400.0
202510,502,United States,30471,"Frozen fillets of cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",450.0
202510,502,United States,30481,"Frozen fillets of Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",77574.0
202510,502,United States,30494,"Frozen meat, whether or not minced, of alaska Pollack (Theragra chalcogramma)",634572.0
202510,502,United States,30495,"Frozen meat, whether or not minced, of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, other than Alaska Pollack (Theragra chalcogramma)",100221.0
202510,502,United States,30520,"Livers, roes and milt of fish, dried, smoked, salted or in brine",530.0
202510,502,United States,30611,"Frozen rock lobster and other sea crawfish (Palinurus spp, Panulirus spp, Jasus spp)",251591.0
202510,502,United States,30616,"Frozen cold-water shrimps and prawns (Pandalus spp, Crangon crangon)",4095.0
202510,502,United States,30631,"Rock lobster and other sea crawfish (Palinurus spp, Panulirus spp, Jasus spp) , whether in shell or not, live, fresh or chilled",5331951.0
202510,502,United States,30632,"Lobsters (Homarus spp), whether in shell or not, live, fresh or chilled",22214459.0
202510,502,United States,30633,"Crabs , whether in shell or not, live, fresh or chilled",3712509.0
202510,502,United States,30635,"Coldwater shrimps and prawns (Pandalus spp, Crangon crangon), whether in shell or not, live, fresh or chilled",31596.0
202510,502,United States,30636,"Other shrimps and prawns, whether in shell or not, live, fresh or chilled",198104.0
202510,502,United States,30711,"Oysters, live, fresh, chilled",14121.0
202510,502,United States,30743,"Frozen cuttle fish and squid, with or without shell",14074717.0
202510,502,United States,30791,"Other molluscs,live/fresh/chilled",8551312.0
202510,502,United States,30821,"Live, fresh or chilled, sea urchins (Strongylocentrotus spp., Paracentrotus lividus, Loxechinus albus, Echinus esculentus)",27716.0
202510,502,United States,40120,"Milk and cream of a fat content, by weight, exceeding 1% but not exceeding 6%",5546.0
